"ActivityLabel" "Subject" "tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagmean" "tBodyAccMagstd" "tGravityAccMagmean" "tGravityAccMagstd" "tBodyAccJerkMagmean" "tBodyAccJerkMagstd" "tBodyGyroMagmean" "tBodyGyroMagstd" "tBodyGyroJerkMagmean" "tBodyGyroJerkMagstd" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagmean" "fBodyAccMagstd" "fBodyBodyAccJerkMagmean" "fBodyBodyAccJerkMagstd" "fBodyBodyGyroMagmean" "fBodyBodyGyroMagstd" "fBodyBodyGyroJerkMagmean" "fBodyBodyGyroJerkMagstd"
"LAYING" 11 0.2806 -0.0177 -0.1088 -0.9848 -0.9722 -0.9713 -0.1348 0.943 0.1126 -0.9796 -0.9908 -0.9842 0.0767 0.0122 0.0028 -0.9853 -0.9728 -0.9821 -0.0192 -0.0416 0.152 -0.9808 -0.9824 -0.9599 -0.1023 -0.0412 -0.0667 -0.9817 -0.9908 -0.9865 -0.9806 -0.9729 -0.9806 -0.9729 -0.9833 -0.9765 -0.9525 -0.9547 -0.9906 -0.9845 -0.9838 -0.9714 -0.9736 -0.9853 -0.9736 -0.9717 -0.9849 -0.9739 -0.9796 -0.9871 -0.9735 -0.9833 -0.9762 -0.9826 -0.9614 -0.9824 -0.9827 -0.9632 -0.974 -0.976 -0.9769 -0.9751 -0.9671 -0.9548 -0.986 -0.9836
"LAYING" 12 0.2601 -0.0175 -0.1082 -0.9553 -0.9491 -0.9483 -0.3786 0.8034 0.275 -0.9365 -0.9744 -0.9596 0.0854 0.0077 -0.0044 -0.9693 -0.9626 -0.9706 -0.0147 -0.0836 0.1452 -0.9661 -0.9539 -0.9502 -0.099 -0.0411 -0.0679 -0.9672 -0.9659 -0.97 -0.9482 -0.9365 -0.9482 -0.9365 -0.9698 -0.9626 -0.9308 -0.9357 -0.9711 -0.962 -0.9562 -0.9513 -0.9547 -0.9552 -0.9506 -0.9484 -0.9687 -0.9632 -0.9671 -0.9728 -0.9647 -0.9727 -0.9567 -0.9526 -0.9457 -0.9693 -0.9553 -0.9564 -0.9439 -0.9421 -0.9624 -0.9617 -0.9455 -0.9404 -0.9639 -0.9619
"LAYING" 13 0.2767 -0.0204 -0.1043 -0.9689 -0.9509 -0.9504 -0.1569 0.6564 0.5989 -0.9579 -0.9759 -0.9599 0.0768 0.0183 -0.0099 -0.9854 -0.9802 -0.9831 -0.0097 -0.0966 0.1178 -0.9721 -0.9627 -0.9674 -0.1018 -0.0418 -0.0649 -0.9814 -0.9789 -0.9898 -0.9605 -0.9479 -0.9605 -0.9479 -0.9855 -0.9801 -0.9443 -0.9447 -0.9854 -0.9751 -0.9747 -0.9658 -0.9663 -0.967 -0.9475 -0.9459 -0.9852 -0.9804 -0.981 -0.9871 -0.9814 -0.9837 -0.9695 -0.9687 -0.9691 -0.9734 -0.9599 -0.9698 -0.9595 -0.9494 -0.9808 -0.978 -0.9577 -0.9461 -0.9782 -0.9728
"LAYING" 14 0.2333 -0.0113 -0.0868 -0.9175 -0.9097 -0.9003 -0.1455 0.4854 0.8366 -0.8621 -0.9488 -0.9013 0.0981 -0.0083 -0.0324 -0.9715 -0.9681 -0.9724 0.0051 -0.1534 0.1491 -0.9572 -0.9325 -0.9523 -0.1054 -0.0373 -0.0566 -0.9703 -0.968 -0.9797 -0.906 -0.8566 -0.906 -0.8566 -0.9726 -0.9665 -0.9047 -0.9134 -0.9756 -0.964 -0.9339 -0.9304 -0.9279 -0.912 -0.9052 -0.8941 -0.972 -0.9693 -0.9686 -0.9735 -0.9691 -0.9749 -0.95 -0.9381 -0.9491 -0.9597 -0.93 -0.9578 -0.8995 -0.8596 -0.968 -0.9636 -0.9302 -0.9178 -0.9665 -0.9637
"LAYING" 15 0.2895 -0.0166 -0.1185 -0.9723 -0.9628 -0.9296 -0.172 0.8992 -0.0369 -0.9615 -0.986 -0.9507 0.0768 0.0124 -0.0044 -0.9817 -0.9709 -0.9784 -0.0168 -0.062 0.1135 -0.9572 -0.9611 -0.9565 -0.1023 -0.0416 -0.0624 -0.9739 -0.9805 -0.9801 -0.9553 -0.9433 -0.9553 -0.9433 -0.9799 -0.9736 -0.9446 -0.924 -0.9832 -0.9737 -0.974 -0.9625 -0.9516 -0.9717 -0.9646 -0.9239 -0.9813 -0.9708 -0.9748 -0.9839 -0.9732 -0.9807 -0.9554 -0.9643 -0.9582 -0.9582 -0.96 -0.96 -0.956 -0.9455 -0.9737 -0.9725 -0.9468 -0.9237 -0.9757 -0.9726
"LAYING" 16 0.2742 -0.0166 -0.1073 -0.9737 -0.9431 -0.9655 -0.2068 -0.0199 0.8939 -0.9638 -0.9661 -0.9679 0.0784 0.0133 -0.0015 -0.9884 -0.9849 -0.9876 -0.0162 -0.1137 0.0966 -0.977 -0.9707 -0.9848 -0.1022 -0.0348 -0.0577 -0.9858 -0.989 -0.9945 -0.9618 -0.9579 -0.9618 -0.9579 -0.9883 -0.9879 -0.9518 -0.959 -0.9908 -0.9882 -0.9802 -0.9636 -0.9746 -0.9714 -0.9371 -0.9625 -0.9886 -0.9848 -0.9855 -0.9893 -0.9862 -0.9883 -0.9759 -0.9761 -0.986 -0.9775 -0.9681 -0.9857 -0.968 -0.9581 -0.9875 -0.9872 -0.9702 -0.959 -0.9887 -0.9881
"LAYING" 17 0.2698 -0.0168 -0.107 -0.973 -0.9448 -0.9535 -0.1991 0.6588 0.7227 -0.9611 -0.9615 -0.9572 0.0779 0.0071 -1e-04 -0.9815 -0.977 -0.9828 -0.0235 -0.0945 0.1114 -0.9759 -0.9715 -0.9762 -0.102 -0.0362 -0.0605 -0.9808 -0.9831 -0.9882 -0.953 -0.9483 -0.953 -0.9483 -0.9816 -0.9801 -0.9607 -0.9593 -0.9855 -0.982 -0.9744 -0.9546 -0.9654 -0.9724 -0.9428 -0.9501 -0.9815 -0.9772 -0.9804 -0.9832 -0.9783 -0.9839 -0.9719 -0.9737 -0.9762 -0.9772 -0.9706 -0.9784 -0.961 -0.949 -0.9797 -0.9797 -0.969 -0.96 -0.9828 -0.982
"LAYING" 18 0.2747 -0.0174 -0.1077 -0.9845 -0.9862 -0.9877 -0.2206 0.7198 0.6055 -0.9827 -0.9941 -0.991 0.075 0.0117 -0.0012 -0.9859 -0.9856 -0.9907 -0.0252 -0.0838 0.0938 -0.9929 -0.9842 -0.9851 -0.0997 -0.0393 -0.0593 -0.9961 -0.9905 -0.9925 -0.9865 -0.9865 -0.9865 -0.9865 -0.9883 -0.9895 -0.9807 -0.9806 -0.9931 -0.9922 -0.9852 -0.9849 -0.9886 -0.9843 -0.9867 -0.9872 -0.9864 -0.9859 -0.9891 -0.9866 -0.9862 -0.9907 -0.9924 -0.9856 -0.985 -0.993 -0.9835 -0.9865 -0.9868 -0.9876 -0.9885 -0.9897 -0.9843 -0.9815 -0.9919 -0.9927
"LAYING" 19 0.2727 -0.0171 -0.109 -0.965 -0.9734 -0.9847 -0.68 0.7256 0.6876 -0.959 -0.987 -0.9888 0.0772 0.0111 -0.001 -0.9836 -0.9745 -0.9883 -0.0312 -0.0953 0.1086 -0.9814 -0.9636 -0.9732 -0.0956 -0.0371 -0.0599 -0.9761 -0.9846 -0.987 -0.9663 -0.9632 -0.9663 -0.9632 -0.9848 -0.9807 -0.9533 -0.9559 -0.9853 -0.9802 -0.9745 -0.9728 -0.9853 -0.9621 -0.9748 -0.9847 -0.9835 -0.9749 -0.9865 -0.9853 -0.976 -0.9886 -0.9742 -0.9721 -0.9739 -0.9839 -0.9598 -0.9754 -0.972 -0.9641 -0.9806 -0.9795 -0.9656 -0.9575 -0.9819 -0.9793
"LAYING" 20 0.2395 -0.0144 -0.1043 -0.9622 -0.9641 -0.9726 -0.4724 0.8649 0.4776 -0.9287 -0.976 -0.9765 0.0893 0.0011 -0.0031 -0.9843 -0.977 -0.985 -0.0232 -0.0955 0.1237 -0.9845 -0.9729 -0.9724 -0.0995 -0.0388 -0.061 -0.9893 -0.9815 -0.9867 -0.9607 -0.9395 -0.9607 -0.9395 -0.9847 -0.9802 -0.9604 -0.9622 -0.9867 -0.9811 -0.9657 -0.9656 -0.9764 -0.961 -0.965 -0.9719 -0.9839 -0.9772 -0.9829 -0.9862 -0.9785 -0.9857 -0.9826 -0.9731 -0.9723 -0.9852 -0.9731 -0.975 -0.9528 -0.9419 -0.9797 -0.9796 -0.9698 -0.9642 -0.9811 -0.982
"LAYING" 21 0.2713 -0.0184 -0.1033 -0.955 -0.957 -0.9457 -0.1743 0.6 0.7883 -0.9459 -0.9837 -0.9524 0.082 0.012 -0.0139 -0.9848 -0.9716 -0.984 -0.0305 -0.1138 0.0981 -0.9754 -0.9521 -0.9813 -0.0964 -0.0346 -0.0601 -0.9846 -0.982 -0.9887 -0.9526 -0.9422 -0.9526 -0.9422 -0.9828 -0.9786 -0.9493 -0.9493 -0.9859 -0.9822 -0.9682 -0.9601 -0.9618 -0.9509 -0.9573 -0.9409 -0.9842 -0.972 -0.9816 -0.9871 -0.9732 -0.9849 -0.9734 -0.965 -0.9808 -0.9762 -0.9466 -0.9833 -0.9538 -0.9444 -0.9784 -0.9776 -0.9623 -0.9497 -0.983 -0.9823
"LAYING" 22 0.28 -0.0143 -0.1108 -0.9477 -0.9133 -0.9429 -0.4185 0.6325 0.7719 -0.9288 -0.9588 -0.9524 0.0752 0.0046 -0.0047 -0.9704 -0.9552 -0.9745 -0.0208 -0.0926 0.145 -0.9566 -0.9619 -0.9333 -0.1002 -0.0376 -0.0703 -0.9721 -0.9805 -0.9786 -0.935 -0.9094 -0.935 -0.9094 -0.9712 -0.9598 -0.9266 -0.9239 -0.9817 -0.9742 -0.9538 -0.9255 -0.9542 -0.9457 -0.9126 -0.9412 -0.9696 -0.9548 -0.9709 -0.9741 -0.959 -0.9768 -0.9534 -0.9647 -0.9426 -0.958 -0.9607 -0.937 -0.9298 -0.9133 -0.9627 -0.9556 -0.9461 -0.9236 -0.9766 -0.9728
"LAYING" 23 0.274 -0.0217 -0.1043 -0.9568 -0.9763 -0.9732 -0.3916 0.4384 0.9188 -0.9479 -0.9828 -0.9768 0.0832 0.0154 -0.0063 -0.9864 -0.9886 -0.9847 -0.0113 -0.1051 0.1111 -0.9818 -0.9592 -0.9839 -0.102 -0.0372 -0.0622 -0.985 -0.9794 -0.9949 -0.963 -0.9579 -0.963 -0.9579 -0.987 -0.9867 -0.9494 -0.9572 -0.9846 -0.9813 -0.97 -0.9821 -0.9775 -0.9524 -0.9743 -0.9723 -0.9862 -0.9882 -0.9824 -0.9878 -0.99 -0.9855 -0.9797 -0.9685 -0.9842 -0.9827 -0.955 -0.9853 -0.9677 -0.9585 -0.9859 -0.9865 -0.9662 -0.959 -0.9818 -0.9816
"LAYING" 24 0.2729 -0.0174 -0.1072 -0.968 -0.9831 -0.9736 -0.3593 0.7384 0.6838 -0.9604 -0.9935 -0.9792 0.0807 0.012 -0.0059 -0.9864 -0.9824 -0.9831 -0.0144 -0.0956 0.1117 -0.9827 -0.9603 -0.9817 -0.1028 -0.0382 -0.0624 -0.9799 -0.9781 -0.9924 -0.9719 -0.9694 -0.9719 -0.9694 -0.9855 -0.9836 -0.9538 -0.9578 -0.9828 -0.9787 -0.9759 -0.9808 -0.9766 -0.9652 -0.9846 -0.9731 -0.986 -0.9821 -0.9815 -0.9881 -0.9841 -0.9832 -0.9766 -0.9661 -0.9811 -0.9847 -0.9578 -0.9836 -0.9732 -0.9711 -0.9831 -0.9833 -0.964 -0.9614 -0.9786 -0.9801
"LAYING" 25 0.2508 -0.0189 -0.1004 -0.9091 -0.6918 -0.7173 -0.4611 0.6207 0.5264 -0.8296 -0.6436 -0.6102 0.0879 0.0285 -0.0307 -0.9733 -0.9457 -0.9678 0.0037 -0.0716 0.1397 -0.8898 -0.9366 -0.9109 -0.1016 -0.0427 -0.0597 -0.9574 -0.9716 -0.9742 -0.5605 -0.6493 -0.5605 -0.6493 -0.9622 -0.9619 -0.8097 -0.856 -0.9698 -0.9683 -0.9291 -0.7849 -0.8162 -0.9025 -0.6724 -0.6941 -0.9729 -0.9468 -0.9626 -0.9764 -0.9484 -0.9719 -0.8905 -0.9463 -0.9245 -0.8913 -0.9323 -0.9155 -0.7745 -0.6514 -0.9601 -0.9636 -0.9101 -0.8507 -0.9683 -0.9705
"LAYING" 26 0.2716 -0.0192 -0.105 -0.9694 -0.9832 -0.9845 -0.6213 0.803 0.6145 -0.9445 -0.9879 -0.9841 0.0867 0.0124 -0.0061 -0.9893 -0.9872 -0.9891 -0.0171 -0.0903 0.1524 -0.9903 -0.9793 -0.9693 -0.1004 -0.0397 -0.0712 -0.9927 -0.9891 -0.9938 -0.9768 -0.9644 -0.9768 -0.9644 -0.99 -0.9891 -0.9519 -0.9657 -0.9922 -0.9899 -0.9733 -0.9837 -0.9849 -0.968 -0.9833 -0.9849 -0.9892 -0.9871 -0.9873 -0.9904 -0.9882 -0.9894 -0.9884 -0.9831 -0.9702 -0.991 -0.9775 -0.9718 -0.9693 -0.9666 -0.9891 -0.9879 -0.9743 -0.9661 -0.9904 -0.9896
"LAYING" 27 0.2741 -0.018 -0.1077 -0.9785 -0.9837 -0.9866 -0.5304 0.5679 0.8454 -0.9712 -0.9937 -0.9891 0.0766 0.0126 -7e-04 -0.9865 -0.9852 -0.9897 -0.0195 -0.0958 0.1187 -0.9888 -0.9843 -0.9784 -0.1011 -0.0362 -0.0643 -0.9935 -0.993 -0.9933 -0.9821 -0.9789 -0.9821 -0.9789 -0.9884 -0.9886 -0.9669 -0.9719 -0.9944 -0.9935 -0.9806 -0.9829 -0.9874 -0.9776 -0.9843 -0.9866 -0.9867 -0.9853 -0.988 -0.9875 -0.9861 -0.9899 -0.987 -0.9868 -0.9792 -0.9894 -0.9831 -0.9801 -0.9814 -0.9803 -0.9881 -0.9882 -0.9799 -0.9718 -0.9936 -0.9936
"LAYING" 28 0.2759 -0.0168 -0.1083 -0.9689 -0.9454 -0.9565 -0.4903 0.1441 0.0158 -0.9706 -0.9698 -0.9791 0.0781 0.0059 0.006 -0.9802 -0.9787 -0.9731 -0.0174 -0.0974 0.0936 -0.9552 -0.9601 -0.9624 -0.1045 -0.0356 -0.0535 -0.9608 -0.9804 -0.9814 -0.9581 -0.9546 -0.9581 -0.9546 -0.9785 -0.9733 -0.9371 -0.9289 -0.9782 -0.9698 -0.9739 -0.9584 -0.9611 -0.9673 -0.942 -0.9568 -0.98 -0.9781 -0.9703 -0.9822 -0.9811 -0.9745 -0.9468 -0.9658 -0.9612 -0.9581 -0.9576 -0.9663 -0.961 -0.9576 -0.9734 -0.9723 -0.9442 -0.9317 -0.9718 -0.9693
"LAYING" 29 0.2873 -0.0172 -0.1095 -0.9842 -0.9902 -0.9873 -0.3468 0.8075 0.5905 -0.9729 -0.9942 -0.9858 0.0719 0.0117 0.0024 -0.992 -0.9895 -0.9933 -0.0258 -0.0762 0.1274 -0.9943 -0.9928 -0.975 -0.0995 -0.0387 -0.0674 -0.9965 -0.9971 -0.9954 -0.9865 -0.9816 -0.9865 -0.9816 -0.9927 -0.9946 -0.9719 -0.977 -0.9973 -0.9977 -0.9866 -0.989 -0.9895 -0.9834 -0.9907 -0.9864 -0.9922 -0.9894 -0.992 -0.9925 -0.9905 -0.9931 -0.9931 -0.9937 -0.9762 -0.9947 -0.9922 -0.9769 -0.9868 -0.9816 -0.994 -0.9944 -0.984 -0.9767 -0.9976 -0.9976
"LAYING" 30 0.281 -0.0194 -0.1037 -0.9764 -0.9542 -0.967 -0.3447 0.7327 0.6815 -0.9796 -0.9889 -0.9833 0.0752 0.0108 -4e-04 -0.9775 -0.971 -0.9795 -0.0268 -0.0761 0.0938 -0.9737 -0.966 -0.9689 -0.1023 -0.0385 -0.0596 -0.9838 -0.9804 -0.9808 -0.9698 -0.9602 -0.9698 -0.9602 -0.9792 -0.9696 -0.9623 -0.9513 -0.9851 -0.9762 -0.9748 -0.96 -0.9703 -0.977 -0.9536 -0.9672 -0.9769 -0.9717 -0.9756 -0.9804 -0.9724 -0.9823 -0.9718 -0.9682 -0.9676 -0.9745 -0.9651 -0.9722 -0.9628 -0.9641 -0.9699 -0.9681 -0.962 -0.9526 -0.9778 -0.9755
